House Hold,Wow Prime House,011 645 1358,011 645 1358,Addis Ababa,,,,,
House Hold,Zebida Shash,091 122 9232,091 122 9232,Addis Ababa,,,,,
House Hold,Yemas International Plc,011 277 9626,011 277 9626,Addis Ababa,,,,,
House Hold,Manufacturing Of House And Office Furniture,011 515 9917,011 515 9917,Addis Ababa,,,,,
House Hold,YOHANNES HOUSE HOLD AND  OFFICE MANUFACTURING,011 439 5426,091 146 1806,Addis Ababa,,,,,
House Hold,uni furniture,011 442 5923,011 442 5923,Addis Ababa,,,,,
House Hold,yohannes house and office furniture factory,091 146 1806,091 299 3179,Addis Ababa,,,,,
House Hold,Yonas Girma,091 209 3428,091 143 2739,Addis Ababa,,,,,
House Hold,Yonas Gonchi Office & House Hold Furniture,091 164 6412,091 164 6412,Addis Ababa,,,,,
House Hold,Dejene Legese Household & Office Furniture,011 645 1484,011 645 1484,Addis Ababa,,,,,
House Hold,Dubai Furniture,091 122 9002,091 122 9002,Addis Ababa,,,,,
House Hold,D.R.B INTERNATIONAL PLC,011 554 2699,011 554 2699,Addis Ababa,,,,,
House Hold,D.F MODREN  HOUSE AND OFFICE FURNITURE ENTERPRISE,011 439 4213,091 160 4076,Addis Ababa,,,,,
House Hold,D.Y trading plc,011 470 0263,011 470 0253,Addis Ababa,,,,,
House Hold,danas enterprise,011 553 1571,011 553 3939,Addis Ababa,,,,,
House Hold,Daniel furniture,091 167 9287,091 167 9287,Addis Ababa,,,,,
House Hold,DECA ENGINEERING CENTER,011 371 1925,091 186 6568,Addis Ababa,,,,,
House Hold,DILFRE HOUSE AND OFFICE FURNITURE,011 155 3153,011 155 3153,Addis Ababa,,,,,
House Hold,Dream Furniture Plc,093 990 9090,092 179 4761,Addis Ababa,,,,,
House Hold,Door Tech Ethiopia Plc,092 024 4728,092 024 4728,Addis Ababa,,,,,
House Hold,Jember Upholstery & House Furnishing,011 156 9141,011 156 9141,Addis Ababa,,,,,
House Hold,Jember Textile,011 213 0245,011 213 0245,Addis Ababa,,,,,
House Hold,G.K.A enterprise plc,011 156 6030,011 115 6602,Addis Ababa,,,,,
House Hold,john furniture,091 321 4201,091 321 4201,Addis Ababa,,,,,
House Hold,GEREMEW HAILE HOUSE HOLD & FURNITURE,011 111 2138,091 168 6141,Addis Ababa,,,,,
House Hold,GEZAE MEKONNEN W/GEBRIEL,011 156 5819,091 120 1369,Addis Ababa,,,,,
House Hold,Geshur In & Out Door Furnituture Manufacturer PLC,091 161 0832,091 057 7482,Addis Ababa,,,,,
House Hold,GETAHUN BEKELE  TESEMA,091 165 4584,091 165 4584,Addis Ababa,,,,,
House Hold,GETACHEW HAILE MODERN WOOD WORK,011 111 8310,091 162 1255,Addis Ababa,,,,,
House Hold,Getachew Kebede General Metal Furniture Work,011 416 4798,011 416 4798,Addis Ababa,,,,,
House Hold,GRUNNDIG FURNITURE,011 157 4124,091 125 0785,Addis Ababa,,,,,
House Hold,GIRMA TESFAYE GENERAL IMPORTER,011 275 1247,091 121 1023,Addis Ababa,,,,,
House Hold,gigar treding,011 111 1619,091 130 1230,Addis Ababa,,,,,
House Hold,GOLDEN FURNITURE,011 275 1104,091 120 0706,Addis Ababa,,,,,
House Hold,FEKEDE ADEBO HOUSE & OFFICE FURNITURE,011 275 1388,091 145 0585,Addis Ababa,,,,,
House Hold,fine used home and office suplplies,091 269 0315,091 269 0315,Addis Ababa,,,,,
House Hold,fese furniture,011 467 0535,011 416 5293,Addis Ababa,,,,,
House Hold,fistsum worsa household material trade,091 105 7318,091 105 7318,Addis Ababa,,,,,
House Hold,fortune enterprise plc,091 160 8328,091 160 8328,Addis Ababa,,,,,
Aluminum,Leggio Aluminium Plc,011 515 3466,011 515 3466,Addis Ababa,,,,,
Aluminum,LAMMERGEIER ALMUNIUM & PVC WORKS,091 151 5002,091 151 5002,Addis Ababa,,,,,
Aluminum,mela aluminum,011 157 0822,091 120 6189,Addis Ababa,,,,,
