Food Industry,MA,091-115-9857,091-115-8957,Addis Ababa,,,,,
Food Industry,HBTA Organic Food plc,091-114-9162,091-363-3982,Addis Ababa,,,,,
Food Industry,NHY GENERAL IMPORTER,011-663-8115,091-151-4052,Addis Ababa,,,,,
Food Industry,Efert Food PLC,094-212-5413,094-212-5413,Addis Ababa,,,,,
Food Industry,ifuye,091-166-0564,091-166-0564,Addis Ababa,,,,,
Food Industry,KALID SHEMSUN ALI FLOUR FACTORY,046-211-0777,046-211-0777,Addis Ababa,,,,,
Food Industry,Kalcom PLC,011-416-8074,011-416-8074,Addis Ababa,,,,,
Food Industry,KASAHUN PAWULOS FOOD,091-152-5456,091-152-5456,Addis Ababa,,,,,
Food Industry,KAJOTO FOOD SHARE COMPANY,011-390-1440,011-390-1440,Addis Ababa,,,,,
Food Industry,CONSOLIDATE MANUFACTURE TRADING /CMT/,011-515-0940,011-515-0940,Addis Ababa,,,,,
Food Industry,kokeb flour and pasta factory,011-419-1539,011-419-1539,Addis Ababa,,,,,
Food Industry,KOKEB FLOUR SHRE COMPANY,011-419-1514,091-177-2054,Addis Ababa,,,,,
Food Industry,weltay duga,091-197-4774,091-197-4774,Addis Ababa,,,,,
Food Industry,WALKAN FOOD,091-134-8654,091-134-8654,Addis Ababa,,,,,
Food Industry,Wab Shebelle Food Complex plc,011-442-4910,091-120-7003,Addis Ababa,,,,,
Food Industry,Wudnesh Flour Factory,091-123-8575,091-123-8575,Addis Ababa,,,,,
Food Industry,Wudenesh Flour Factory Plc,011-660-0865,011-660-0865,Addis Ababa,,,,,
Food Industry,ZZEHARA MOHAMED FLOUR FACTORY,011-279-2932,011-279-2932,Addis Ababa,,,,,
Food Industry,YENEGAT TSEHAY FLOUR FACTORY,091-471-6252,091-471-6252,Addis Ababa,,,,,
Food Industry,FISH PRODUCTION AND MARKETING ENTERPRISE,011-440-0341,011-440-0341,Addis Ababa,,,,,
Food Industry,Tofik and Halima movable ice-cream machine supply,091-161-6564,091-161-6564,Addis Ababa,,,,,
Food Industry,Universal Food Complex,011-439-3646,011-439-9967,Addis Ababa,,,,,
Food Industry,YEMALDU OIL FACTORY,011-553-8653,011-553-8653,Addis Ababa,,,,,
Food Industry,YAMROT ENGINEERING,011-896-4949,011-896-4949,Addis Ababa,,,,,
Food Industry,yamrot food complex,011-320-2824,011-320-2824,Addis Ababa,,,,,
Food Industry,"Yoseph,Yohannis,Bemnet & friends Food Production Partnership",091-051-6402,091-051-6402,Addis Ababa,,,,,
Food Industry,destny trading plc,011-663-6727,091-120-9797,Addis Ababa,,,,,
Food Industry,D.D FOOD COMPLEX SH.CO,011-156-2226,011-156-6269,Addis Ababa,,,,,
Food Industry,DALLOL SALT PRODUCTION S.CO,011-278-9947,091-120-7116,Addis Ababa,,,,,
Food Industry,dhanga ambo agro food complex,091-046-1207,091-046-1207,Addis Ababa,,,,,
Food Industry,DUCK PLC,011-277-9630,011-320-3516,Addis Ababa,,,,,
Food Industry,D.H GEDA FLOUR FACTORY PLC,011-629-3415,091-120-3996,Addis Ababa,,,,,
Food Industry,DIREDAWA FOOD COMPLEX S.CO,011-629-7132,011-329-7132,Addis Ababa,,,,,
Food Industry,JEMANESH FLOUR FACTORY,011-213-2876,011-213-2876,Addis Ababa,,,,,
Food Industry,GEMILA REDE FLOUR FACTORY,091-150-7740,091-150-7740,Addis Ababa,,,,,
Food Industry,Gezahegn Solomon,091-295-5313,091-395-5313,Addis Ababa,,,,,
Food Industry,global food catering,091-431-6544,091-431-6545,Addis Ababa,,,,,
Food Industry,GIRUM FOOD COMPLEX PLC,011-442-3239,011-442-3239,Addis Ababa,,,,,
Food Industry,GIRMA ABERA & HIS SON OIL,091-120-6918,091-120-6918,Addis Ababa,,,,,
Food Industry,Goh Floor Factory,091-045-1084,091-045-1084,Addis Ababa,,,,,
Food Industry,GANOZHI TRADING PLC,011-661-6714,091-123-8921,Addis Ababa,,,,,
Food Industry,best food to cure brain stroke,091-225-3029,091-225-3029,Addis Ababa,,,,,
Food Industry,General Importer Chalaklaka Edible Oil,011-433-8869,011-433-8869,Addis Ababa,,,,,
Food Industry,Food Com General Trading,011-663-7079,011-663-7079,Addis Ababa,,,,,
Food Industry,Fantastic Farina Food Complex,011-439-1837,011-439-1837,Addis Ababa,,,,,
Food Industry,fafa food share compani,011-442-1755,091-120-0405,Addis Ababa,,,,,
Food Industry,FAFFA FOOD COMPLEX,091-167-3604,091-167-3604,Addis Ababa,,,,,
Food Industry,fisha eshetye flour factory,011-439-1698,011-439-1698,Addis Ababa,,,,,
Food Industry,finas international food service plc,092-743-4471,092-743-4471,Addis Ababa,,,,,
Food Industry,President Food Complex,091-320-6348,091-320-6348,Addis Ababa,,,,,
Mining,Hiwot watar ,011 882 9197,011 882 9197,Addis Ababa,,,,,
Mining,Belay Industris plc,011 275 5974,091 120 4709,Addis Ababa,,,,,
Mining,Alkabus Agro Industry ,091 017 3136,091 017 3136,Addis Ababa,,,,,
Mining,Ambo water mineral water,011 371 6242,091 150 2786,Addis Ababa,,,,,
Mining,Agmas Manufacturing Plc,091 150 4080,091 120 4080,Addis Ababa,,,,,
Mining,Water and Bottle Manufactur,091 120 3572,092 936 7626,Addis Ababa,,,,,
Mining,Debre Berhan Natural Resources Water Plc,011 629 0607,011 629 0607,Addis Ababa,,,,,
Mining,Ethiopian Flour Factory Assosation,011 467 2277,091 115 2191,Addis Ababa,,,,,
Mining,Mesp Africa,011 663 8734,091 166 3873,Addis Ababa,,,,,
Mining,Rome Plastic Packaging,091 140 8124,091 140 8124,Addis Ababa,,,,,
Mining,Burayu Packaging & Printing Industry,011 466 9858,011 466 9858,Addis Ababa,,,,,/img/industry/BURAYU final .jpg
Mining,Bazeto Industry & Trading Plc,011 440 4290,011 440 4290,Addis Ababa,,,,,
Mining,?ngawu parking PLC ,093 664 9255,093 664 9255,Addis Ababa,,,,,
Mining,A.M printing Packaging PLC,011 156 7887,011 419 4770,Addis Ababa,,,,,
Mining,APF FALEXS MANUFACTURING ,093 320 0100,093 320 0100,Addis Ababa,,,,,
Mining,Classic Packaging Packaging & Carton Boxing Factor,011 372 5321,091 201 9475,Addis Ababa,,,,,
Mining,DA Packaging PLC,011 321 0013,011 321 3098,Addis Ababa,,,,,
Mining,PRI Packaging PLC,093 007 0930,093 007 0930,Addis Ababa,,,,,
Mining, Hile meskel,091 037 2160,091 037 2160,Addis Ababa,,,,,
Mining,H?meze Swing Machine Dealer,091 162 1490,091 162 1490,Addis Ababa,,,,,
Mining,Hamilton Construction Rent PLC ,011 416 3731,011 416 3731,Addis Ababa,,,,,
Mining,Habtom Gebre / eysuse,091 478 1546,091 142 6284,Addis Ababa,,,,,
Mining,Hancon Concentration Machinery,093 676 1376,091 151 6545,Addis Ababa,,,,,
Mining,Hiwot Beyene building materials Sale,091 132 1116,092 772 5125,Addis Ababa,,,,,
Mining,Hedasa Gebru,090 242 8307,090 242 8307,Addis Ababa,,,,,
Mining,Lion Agri make and Engineering Services,011 551 8601,011 551 8601,Addis Ababa,,,,,
Mining,Mehari Berhane Construction Machinery Rental,091 121 1854,091 175 8149,Addis Ababa,,,,,
Mining,"Musea Al Azar Construction and Distribution Co., Ltd",011 442 4333,011 442 4333,Addis Ababa,,,,,
Mining, samerawi gzahige Construction Machinery Rental,011 663 1903,011 663 1903,Addis Ababa,,,,,
Mining,sendu Construction Machinerie,011 320 2353,092 990 1565,Addis Ababa,,,,,
Mining,Seyume Terfe Construction Machinery Rental Plc,091 117 6963,091 107 4112,Addis Ababa,,,,,
Mining,Solbis Machinery Rental & Importer,091 123 6641,091 123 6641,Addis Ababa,,,,,
Mining,Rehawiniti Construction Machinery Rental,011 829 1400,093 598 8465,Addis Ababa,,,,,
Mining,Rise  Engineering SC,011 440 1420,011 442 0667,Addis Ababa,,,,,
Mining,Roman Ba,091 122 3407,091 122 3407,Addis Ababa,,,,,
Mining,Shae Omar Mustafa and his family PLC,091 121 0886,091 121 0886,Addis Ababa,,,,,
Mining,Kalkidan Construction material rent,091 319 8405,091 185 3743,Addis Ababa,,,,,
Mining,Belaye Leywe Construction Machinery Rental,094 070 7070,094 070 7070,Addis Ababa,,,,,
Mining, B H T GENERAL TRADING PLC,093 601 0919,091 162 3874,Addis Ababa,,,,,
Mining,Binebebe Engineering  PLC ,091 002 5510,091 304 6515,Addis Ababa,,,,,
Mining,B H H Machinery Rental Plc,093 009 7908,091 120 3502,Addis Ababa,,,,,
Mining,Biserat Gberel car sparepart,011 840 5223,091 121 3049,Addis Ababa,,,,,
Mining,Biruk Teshome Machinery Rental,091 210 6594,091 210 6594,Addis Ababa,,,,,
Mining,Bruk Abebe Haile,091 125 2836,091 125 2836,Addis Ababa,,,,,
Mining,Bruk Tilahun PLC ,091 151 4893,091 151 4893,Addis Ababa,,,,,
Mining,Birhane ENGINEERING PLC,011 416 2333,011 416 2333,Addis Ababa,,,,,
Mining,Tafari Ibrahim,091 242 0331,091 242 0331,Addis Ababa,,,,,
Mining,Tamexi Trading,011 442 3179,011 442 3179,Addis Ababa,,,,,
Mining,Tatale Construction Machinerie Rent PLC,093 009 9221,093 009 9221,Addis Ababa,,,,,
Mining,Techno Mac PLC ,011 320 4505,011 439 0206,Addis Ababa,,,,,
Mining,China Africa sparepart,011 157 4278,091 168 0011,Addis Ababa,,,,,
Mining,Nebeyu G / Mariam Importer,091 341 3349,091 341 3349,Addis Ababa,,,,,
Mining,NILE TAN MACHINE Renta PLC,011 554 4933,011 618 0929,Addis Ababa,,,,,
Mining,Noli General Business,092 131 6164,092 131 6164,Addis Ababa,,,,,
Mining, Alemayhu Asefa ,011 467 7492,091 130 2805,Addis Ababa,,,,,
Mining, Amenshi Machinery Rental,011 553 8454,011 553 8454,Addis Ababa,,,,,
Mining,Asenake TafeseMachinery Rental,093 007 1727,093 007 1727,Addis Ababa,,,,,
Mining,Akale Shumeta Construction Mterials Services,093 440 7439,093 440 7439,Addis Ababa,,,,,
Mining,Asfer Terading,011 663 8541,093 010 9734,Addis Ababa,,,,,
Mining,Asefawe Beyene Constreacion MachineryRental,091 151 4902,091 151 4902,Addis Ababa,,,,,
Mining,Asfaw wesene of construction materials Import PLC,093 000 3878,093 000 3878,Addis Ababa,,,,,
Mining,Ashenafi Amare,091 179 8490,091 179 8490,Addis Ababa,,,,,
Mining, Abera And His sons,011 466 0644,011 466 0644,Addis Ababa,,,,,
Mining,Abebe Gatachew,091 122 7200,091 122 7200,Addis Ababa,,,,,
Mining,Abedulkader Syed Machinery,091 124 2760,091 124 2760,Addis Ababa,,,,,
Mining,AtemeConstruction Machinerie Rent,091 131 3771,091 131 3771,Addis Ababa,,,,,
Mining,Akelilu Atenafu,091 109 9912,091 109 9912,Addis Ababa,,,,,
Mining,Aweke Desa Construction Machinerie Rent,011 440 1166,091 156 1521,Addis Ababa,,,,,
Mining,Awakiro machine house,011 515 4796,011 515 4796,Addis Ababa,,,,,
Mining,Awsten CONSTRUCTION PLC,011 850 0354,091 832 2204,Addis Ababa,,,,,
Mining,Ayele Beyen,094 212 5334,094 212 5334,Addis Ababa,,,,,
Mining,Addis Merafe Constraction Materials Rental,091 163 0227,091 163 0227,Addis Ababa,,,,,
Mining, Addis Tech mechineri Parts Suppliers plc,093 148 3121,093 148 3121,Addis Ababa,,,,,
Mining,Addis Ababa National Holdings Administrative ,011 126 3698,011 126 3698,Addis Ababa,,,,,
Mining,Addis forno,011 156 2280,011 156 2281,Addis Ababa,,,,,
Mining,Afesealll Technology PLC ,011 419 8334,011 652 3282,Addis Ababa,,,,,
Mining,Afro Tools General Business PLC,011 515 3066,011 515 8990,Addis Ababa,,,,,
Mining,Avon PLC,091 326 5791,091 175 4558,Addis Ababa,,,,,
Mining,EMG Building Material Leasing,011 126 6261,011 126 6261,Addis Ababa,,,,,
Mining,East Africa and hilling Center,011 554 5974,001 155 4597,Addis Ababa,,,,,
Mining,Ethio Libia share Agriculture SC,011 551 2900,011 551 2900,Addis Ababa,,,,,
Mining,Ethiopian Machineries PLC,011 863 0090,011 863 0090,Addis Ababa,,,,,
Mining,eggmak plc ,091 120 1105,091 120 1105,Addis Ababa,,,,,
Mining, Ital Project Africa plc,011 442 1263,011 442 1263,Addis Ababa,,,,,
Mining,Alem Tshaye Ayetaga,093 007 7726,093 007 7726,Addis Ababa,,,,,
Mining,A.C.E TRADING COMPANY,011 213 8082,091 177 6098,Addis Ababa,,,,,
Mining,A.C.F TRADING,091 120 1473,091 120 1473,Addis Ababa,,,,,
Mining, Ellen Construction,091 169 9347,091 169 9347,Addis Ababa,,,,,
Mining,Emahizi Global Consulting  PLC ,011 647 7245,011 647 7245,Addis Ababa,,,,,
Mining, M.C.M,091 169 1902,091 169 1902,Addis Ababa,,,,,
Mining, S. N Construction Machinery Rental,091 140 6435,091 140 6435,Addis Ababa,,,,,
Mining,H. Home Deep Trading,011 416 5819,011 416 5819,Addis Ababa,,,,,
Mining,H. A.F Tools General Trading PLC,091 121 4995,091 121 4995,Addis Ababa,,,,,
Mining, H.Y Construction machinery supplier ,092 771 1823,092 771 1823,Addis Ababa,,,,,
Mining,Ephraim Ekubayecontrsction,094 413 1072,091 120 2213,Addis Ababa,,,,,
Mining,Israel Construction Machinery Rental,091 118 5167,091 118 5167,Addis Ababa,,,,,
Mining,All Africa PLC,011 157 9498,011 157 9498,Addis Ababa,,,,,
Mining,Orenist Trading plc,091 176 9788,091 176 9788,Addis Ababa,,,,,
Mining,kiber Construction materials and equipment rental,011 553 5986,011 553 5986,Addis Ababa,,,,,
Mining,keder Awel construction equipment Rent,093 007 8443,093 007 8443,Addis Ababa,,,,,
Mining,Kalpere Metal Works Engineering,011 439 5246,011 439 5246,Addis Ababa,,,,,
Mining,Kassahan and netsanet,091 000 8585,091 000 8585,Addis Ababa,,,,,
Mining, Kanager Machinery Rental,091 168 9997,091 168 9997,Addis Ababa,,,,,
Mining,k L MTRADING AND INDUSTRIAL plc,092 016 5870,092 016 5870,Addis Ababa,,,,,
Mining,kebebew biru wooden and metal work,011 275 1322,011 275 1322,Addis Ababa,,,,,
Mining,Kiflom Hailu  construction equipment renting business,011 554 8913,011 554 8913,Addis Ababa,,,,,
Mining, Wedeye Germa plc,011 551 8229,091 120 1524,Addis Ababa,,,,,
Mining,Winta Bayu,091 119 3893,091 119 8393,Addis Ababa,,,,,
Mining,Zelalem Shiferawe,091 120 2316,091 120 2316,Addis Ababa,,,,,
Mining,Zena Constaction Materials Sale,011 275 4878,011 275 4878,Addis Ababa,,,,,
Mining, Yemekabe General Import Export Plc ,011 442 1339,001 012 1511,Addis Ababa,,,,,
Mining, Yetebarke Birhane,091 470 1917,091 470 1917,Addis Ababa,,,,,
Mining,Yonatal Shibiru,091 110 9460,091 110 9460,Addis Ababa,,,,,
Mining,Desalegn Tadese ,091 113 3520,091 113 3520,Addis Ababa,,,,,
Mining,Desalegn Alebachew Sisaye ,011 662 5786,091 121 6047,Addis Ababa,,,,,
Mining,Desta yadata Construction Machine Rent,091 327 8683,091 327 8683,Addis Ababa,,,,,
Mining,Dan paint International Trading,011 157 9200,011 157 9200,Addis Ababa,,,,,
Mining,Daniel Machine Shop,091 131 6933,091 131 6933,Addis Ababa,,,,,
Mining,Deboiner  Trading,091 430 0783,091 121 7076,Addis Ababa,,,,,
Mining,G.M.Y Grand Shift Repair & Engines Company,011 647 7860,011 647 7860,Addis Ababa,,,,,
Mining,Jabe Rock Driiling,091 135 3174,093 001 3745,Addis Ababa,,,,,
Mining,J. H. R. Construction Machinery Rentals PLC ,011 442 1709,011 442 1709,Addis Ababa,,,,,
Mining,Gupe Singapore P tu e,011 618 6360,011 618 6360,Addis Ababa,,,,,
Mining,John PLC,092 350 0005,092 350 0005,Addis Ababa,,,,,
Mining,Geneba Motors,091 342 4614,091 579 2600,Addis Ababa,,,,,
Mining,Gezahene Hailu Modern Machine Workshop,011 416 6134,011 416 6134,Addis Ababa,,,,,
Mining,giza Guide plc,011 552 8080,091 151 7596,Addis Ababa,,,,,
Mining,Gion Kebede plc,011 466 3118,091 188 3479,Addis Ababa,,,,,
Mining,Golden Rode Agrofarms,091 166 9971,091 166 9971,Addis Ababa,,,,,
Mining,Firawe Bekele Construction ,011 470 7757,091 196 3369,Addis Ababa,,,,,
Mining,Famguso Construction,096 116 2489,091 162 4893,Addis Ababa,,,,,
Mining,Fatade General Trading PLC,011 440 4862,011 440 4862,Addis Ababa,,,,,
Mining, Fana Gatachwe,096 216 8423,096 216 8423,Addis Ababa,,,,,
Mining, fivi firaol,093 787 7534,093 787 7534,Addis Ababa,,,,,
Mining, Firtuna gberselasa,091 123 3319,091 123 3319,Addis Ababa,,,,,
Mining,PRIVATE,091 168 7769,091 168 7769,Addis Ababa,,,,,
Mining,Paul Riyes & the Children (Ethiopia) Company,092 188 5426,011 156 0233,Addis Ababa,,,,,
Industry,Infra Group,011 661 1500,011 661 1500,Addis Ababa,,,,,
Industry,yohanis tesema,091 120 4613,091 120 4613,Addis Ababa,,,,,
Industry,gugda agro industry plc,011 434 3318,011 434 3318,Addis Ababa,,,,,
Industry,HASSENIAS AGRI COMM.INDUSTRY AND CONST PLC,011 111 5441,091 188 7332,Addis Ababa,,,,,
Industry,harbu trade and industry plc,011 466 2041,011 466 2041,Addis Ababa,,,,,
Industry,Hake Trade and industry Enterprise,011 440 3218,091 120 9674,Addis Ababa,,,,,
Industry,Hi Tech Industry,092 287 8192,092 287 8192,Addis Ababa,,,,,
Industry,Huajia International Light Industry City,091 192 7437,091 192 7437,Addis Ababa,,,,,
Industry,Lammi Agro & Industry PLC,011 661 5194,011 661 5194,Addis Ababa,,,,,
Industry,LION LEATHER PRODUCTS,011 552 8866,011 552 8866,Addis Ababa,,,,,
